agent_path,black,white,total_wins
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_09-52-04_dql-15-group-0-70-group-1,77,71,148
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0-51-group-1-118-group-2,69,78,147
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-59-group-1,71,75,146
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0-38-group-0-59-group-1,73,72,145
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/3_256_conv/2024-06-25_01-29-44_ppo-1-15-group-0,67,77,144
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-59-group-1-118-group-2,68,76,144
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-44_ppo-30-group-0-38-group-0-59-group-1,69,74,143
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-51-group-1-51-group-2-55-group-3,62,80,142
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_04-53-32_dql,71,70,141
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/3_256_conv/2024-06-25_01-29-44_ppo-38-group-0-failed-51-group-2-55-group-3,66,74,140
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-51-group-1-118-group-2,68,72,140
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-15-group-0-70-group-1,61,77,138
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-51-group-1-51-group-2,67,71,138
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-44_ppo-38-group-0-51-group-1,59,77,136
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-59-group-1,66,69,135
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0-59-group-1,66,69,135
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-59-group-1,57,74,131
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-59-32_ppo-38-group-0-59-group-1,63,66,129
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-51-group-1-51-group-2-55-group-3,67,61,128
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4,67,61,128
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-38-group-0-failed,58,68,126
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0,57,68,125
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0,56,66,122
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-59-group-1,59,62,121
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4,57,64,121
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/3_256_conv/2024-06-25_09-52-04_dql-15-group-0,56,65,121
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_10-58-31_dql,64,56,120
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-51-group-1-51-group-2,53,67,120
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-59-group-1,53,67,120
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-51-group-1-118-group-2,56,62,118
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-59-group-1,51,65,116
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-0-15-group-0-70-group-1,64,51,115
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-51-group-2,51,63,114
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-51-group-1-51-group-2,50,64,114
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_07-16-20_dql,47,58,105
