episode,episode_length,episode_reward,learning_rate
528,9,1.0,0.0003
529,23,-1.0,0.0003
530,11,1.0,0.0003
531,23,-1.0,0.0003
532,8,1.0,0.0003
533,22,1.0,0.0003
534,9,1.0,0.0003
535,25,-1.0,0.0003
536,9,1.0,0.0003
537,21,1.0,0.0003
538,16,1.0,0.0003
539,24,1.0,0.0003
540,20,1.0,0.0003
541,25,-1.0,0.0003
542,22,1.0,0.0003
543,22,1.0,0.0003
544,12,1.0,0.0003
545,22,1.0,0.0003
546,12,1.0,0.0003
547,24,1.0,0.0003
548,8,1.0,0.0003
549,22,1.0,0.0003
550,9,1.0,0.0003
551,22,1.0,0.0003
552,9,1.0,0.0003
553,23,1.0,0.0003
554,14,1.0,0.0003
555,21,1.0,0.0003
556,9,1.0,0.0003
557,18,1.0,0.0003
558,9,1.0,0.0003
559,22,1.0,0.0003
560,7,1.0,0.0003
561,24,-1.0,0.0003
562,7,1.0,0.0003
563,21,1.0,0.0003
564,9,1.0,0.0003
565,23,1.0,0.0003
566,9,1.0,0.0003
567,23,1.0,0.0003
568,9,1.0,0.0003
569,16,1.0,0.0003
570,9,1.0,0.0003
571,22,1.0,0.0003
572,8,1.0,0.0003
573,21,-1.0,0.0003
574,8,1.0,0.0003
575,23,1.0,0.0003
576,21,1.0,0.0003
577,20,1.0,0.0003
578,8,1.0,0.0003
579,25,-1.0,0.0003
580,12,1.0,0.0003
581,25,-1.0,0.0003
582,9,1.0,0.0003
583,22,1.0,0.0003
584,18,-1.0,0.0003
585,24,1.0,0.0003
586,7,1.0,0.0003
587,24,1.0,0.0003
588,8,1.0,0.0003
589,22,1.0,0.0003
590,8,1.0,0.0003
591,25,-1.0,0.0003
592,10,1.0,0.0003
593,23,1.0,0.0003
594,19,1.0,0.0003
595,25,-1.0,0.0003
596,9,1.0,0.0003
597,23,1.0,0.0003
598,9,1.0,0.0003
599,23,1.0,0.0003
600,23,1.0,0.0003
601,22,1.0,0.0003
602,7,1.0,0.0003
603,24,-1.0,0.0003
604,12,1.0,0.0003
605,24,1.0,0.0003
606,8,1.0,0.0003
607,24,1.0,0.0003
608,11,1.0,0.0003
609,21,1.0,0.0003
610,17,1.0,0.0003
611,19,1.0,0.0003
612,9,1.0,0.0003
613,25,-1.0,0.0003
614,10,1.0,0.0003
615,25,-1.0,0.0003
616,10,1.0,0.0003
617,22,1.0,0.0003
618,7,1.0,0.0003
619,23,1.0,0.0003
620,12,1.0,0.0003
621,22,1.0,0.0003
622,7,1.0,0.0003
623,19,1.0,0.0003
624,8,1.0,0.0003
625,24,1.0,0.0003
626,8,1.0,0.0003
627,23,1.0,0.0003
628,8,1.0,0.0003
629,25,-1.0,0.0003
630,10,1.0,0.0003
631,24,1.0,0.0003
632,12,1.0,0.0003
633,24,1.0,0.0003
634,9,1.0,0.0003
635,25,-1.0,0.0003
636,8,1.0,0.0003
637,25,-1.0,0.0003
638,19,1.0,0.0003
639,22,1.0,0.0003
640,7,1.0,0.0003
641,22,1.0,0.0003
642,8,1.0,0.0003
643,19,1.0,0.0003
644,9,1.0,0.0003
645,24,-1.0,0.0003
646,24,1.0,0.0003
647,22,1.0,0.0003
648,8,1.0,0.0003
649,23,1.0,0.0003
650,20,1.0,0.0003
651,24,-1.0,0.0003
652,7,1.0,0.0003
653,21,1.0,0.0003
654,10,1.0,0.0003
655,22,1.0,0.0003
656,9,1.0,0.0003
657,25,-1.0,0.0003
658,9,1.0,0.0003
659,25,-1.0,0.0003
660,8,1.0,0.0003
661,17,1.0,0.0003
662,10,1.0,0.0003
663,22,1.0,0.0003
664,9,1.0,0.0003
665,23,1.0,0.0003
666,8,1.0,0.0003
667,15,1.0,0.0003
668,7,1.0,0.0003
669,23,1.0,0.0003
670,9,1.0,0.0003
671,22,1.0,0.0003
672,8,1.0,0.0003
673,24,-1.0,0.0003
674,9,1.0,0.0003
675,21,1.0,0.0003
676,7,1.0,0.0003
677,24,1.0,0.0003
678,10,1.0,0.0003
679,20,1.0,0.0003
680,10,1.0,0.0003
681,23,1.0,0.0003
682,8,1.0,0.0003
